title,published_date,duration_seconds,views,likes,comments,upload_month,published_year,published_month
"SƠN TÙNG M-TP | THERE'S NO ONE AT ALL | TEASING AUDIO","2022-04-25 00:00:00",221,2828809,137441,8479,2022-04,2022,4
"SƠN TÙNG M-TP | THERE'S NO ONE AT ALL | OFFICIAL TRAILER","2022-04-23 00:00:00",44,4877568,189257,25404,2022-04,2022,4
"SƠN TÙNG M-TP | #NOAA | FASHION CLIP","2022-04-15 00:00:00",51,349709,25219,454,2022-04,2022,4
"SƠN TÙNG M-TP | #NOAA | UNBOXING VIDEO","2022-04-14 00:00:00",42,416078,25797,672,2022-04,2022,4
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | KỸ NĂNG DIỄN XUẤT  | OFFICIAL EPISODE 45","2022-04-14 00:00:00",317,314020,9827,453,2022-04,2022,4
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LÝ DO BIẾN MẤT | OFFICIAL EPISODE 44","2022-04-07 00:00:00",287,134540,6014,364,2022-04,2022,4
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | THÂN PHẬN THẬT | OFFICIAL EPISODE 43","2022-03-31 00:00:00",285,131196,5638,313,2022-03,2022,3
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | NGẦM THỪA NHẬN | OFFICIAL EPISODE 42","2022-03-24 00:00:00",317,134148,6126,384,2022-03,2022,3
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TRAO ĐỔI THÔNG TIN | OFFICIAL EPISODE 41","2022-03-17 00:00:00",331,123698,5994,370,2022-03,2022,3
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | SAO CHUYỆN ĐÓ CÓ THỂ XẢY RA ĐƯỢC! | OFFICIAL EPISODE 40","2022-02-24 00:00:00",297,135341,6404,408,2022-02,2022,2
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | TAI NẠN BẤT NGỜ | OFFICIAL EPISODE 39","2022-02-17 00:00:00",282,128296,6242,278,2022-02,2022,2
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | 2 CHÚ GẤU | OFFICIAL EPISODE 38","2022-02-10 00:00:00",315,112469,6255,242,2022-02,2022,2
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | LÊ HUY | OFFICIAL EPISODE 37","2022-02-03 00:00:00",292,130239,6859,286,2022-02,2022,2
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | PHOTOSHOOT | OFFICIAL EPISODE 36","2022-01-27 00:00:00",320,137647,7683,347,2022-01,2022,1
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | CƠN ÁC MỘNG | OFFICIAL EPISODE 35","2022-01-20 00:00:00",347,133060,7322,289,2022-01,2022,1
"SƠN TÙNG M-TP | LẠC TRÔI MOVINGTOON | MA ÂM | OFFICIAL EPISODE 34","2022-01-13 00:00:00",340,131604,7388,347,2022-01,2022,1
