title,published_date,duration_seconds,views,likes,comments,engagement_rate,upload_month,published_year,published_month
PONNIE x SƠN TÙNG M-TP | HƠN CẢ SỐ 1,2024-08-11 00:00:00+00:00,61,11552144,51492,4449,0.004842478,2024-08,2024,8
SƠN TÙNG M-TP | 7-MINUTE STAGE | ĐỪNG LÀM TRÁI TIM ANH ĐAU,2024-06-22 00:00:00+00:00,738,4027961,87823,5012,0.023047641,2024-06,2024,6
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | BEHIND THE SCENES,2024-06-15 00:00:00+00:00,508,2577227,65237,2614,0.026327134,2024-06,2024,6
LA LA LA LA #DLTTAD DANCE 🧩🎧♥️,2024-06-14 00:00:00+00:00,51,728559,37813,798,0.052996394,2024-06,2024,6
ĐỪNG LÀM TRÁI TIM ANH ĐAU | DANCE CHALLENGE 🧩🎧🔥,2024-06-09 00:00:00+00:00,38,2471782,99058,1398,0.040641125,2024-06,2024,6
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL MUSIC VIDEO,2024-06-08 00:00:00+00:00,326,156275222,1401502,251126,0.010575112,2024-06,2024,6
Main Poster: ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹,2024-05-31 00:00:00+00:00,10,446827,17739,321,0.040418327,2024-05,2024,5
SƠN TÙNG M-TP | ĐỪNG LÀM TRÁI TIM ANH ĐAU | OFFICIAL TEASER,2024-05-29 00:00:00+00:00,22,1773027,72234,5781,0.044001022,2024-05,2024,5
ĐỪNG LÀM TRÁI TIM ANH ĐAU ❤️‍🩹 -coming soon- #DLTTAD 💍 #SonTungMTP,2024-05-25 00:00:00+00:00,10,976570,33910,725,0.035465968,2024-05,2024,5
… 👀 #DLTTAD 💍,2024-05-22 00:00:00+00:00,17,532766,14137,251,0.027006228,2024-05,2024,5
SƠN TÙNG M-TP | 7-MINUTE STAGE | CHÚNG TA CỦA TƯƠNG LAI,2024-03-23 00:00:00+00:00,461,4754150,98333,9537,0.02268965,2024-03,2024,3
